#{"t_start": 1774499007.4843695, "env_id": "None"}
r,l,t
-108.487534,135,37807.990542
134.03543,224,37834.517128
-132.324999,200,37858.358444
131.343221,315,37895.38974
107.655662,108,37908.622083
-132.259064,208,37933.274623
-246.542405,69,38829.148641
-129.315884,151,38847.372529
-130.954587,137,38863.998255
108.258477,221,38890.298892
119.607025,137,38906.895596
-90.870663,226,38933.856677
117.335485,163,38953.413226
124.773053,165,38973.214195
104.995169,183,38995.089476
90.817034,395,39041.718468
-122.586015,157,39062.761533
102.12693,223,39089.217172
-104.193929,188,39111.637859
-125.222811,192,39134.61165
129.433079,229,39161.881573
-127.904046,600,39232.212095
140.612664,217,39258.08998
107.045437,114,39271.957286
128.719175,219,39299.794967
-148.786587,237,39328.42031
109.326604,133,39344.570775
114.496032,419,39394.049668
-129.713327,220,39420.381291
-139.413828,203,39444.633387
-187.362161,362,39487.468029
102.983281,317,39524.977962
-133.521205,208,39552.234759
135.893638,250,39581.976865
-100.260587,149,39599.969769
-108.881563,161,39619.399507
-115.01712,119,39633.890916
-100.21962,175,39654.809815
77.251148,237,39683.11219
136.914711,261,39714.294944
-131.010849,163,39734.030914
-132.917176,266,39765.756975
79.673544,176,39786.979585
-118.588498,149,39805.022693
32.727088,269,39836.971789
130.513372,165,39856.820883
-104.694416,191,39879.773281
113.737452,154,39898.362455
125.751918,131,39916.063051
-131.262695,331,39955.232171
-130.236604,167,39975.293245
-125.892736,184,39999.107001
31.299661,252,40029.067624
-375.240092,34,40867.574331
75.881369,550,40934.182006
-92.177062,147,40951.875331
127.162911,147,40971.559981
112.000638,113,40985.410972
147.18613,215,41011.033006
-113.259073,197,41034.63198
-126.115741,271,41066.780522
-104.256476,181,41088.402325
53.476338,225,41117.057876
-125.668201,154,41135.536007
129.419262,173,41156.286599
-13.55122,247,41185.533559
73.049573,144,41202.961632
112.996144,187,41225.478908
-114.510452,139,41242.302606
134.735265,207,41267.018023
-133.068812,182,41288.794491
-124.457034,185,41310.990723
127.681583,189,41333.532382
98.680004,351,41375.053375
141.819107,184,41399.197685
-101.705632,558,41464.524983
-123.881956,171,41484.898931
-127.387385,210,41509.9247
-127.151349,175,41530.811758
93.013156,224,41557.390279
127.427898,146,41575.015987
105.229863,198,41598.526906
122.649139,248,41627.836098
79.252487,170,41649.96573
128.662859,171,41670.417707
-100.008724,162,41689.866085
126.721331,121,41704.573005
120.138879,96,41716.297426
146.882088,307,41754.140634
142.175198,233,41781.80447
-108.403131,172,41802.466603
126.109568,176,41823.617931
141.53213,181,41845.327409
130.298777,109,41858.787683
118.412386,80,41868.872237
54.264364,267,41902.348964
147.795138,230,41929.747495
-113.160125,184,41951.711248
150.367378,239,41981.809517
126.482163,172,42002.478164
161.335608,333,42041.790754
98.183314,89,42052.754614
106.890842,144,42070.132725
-315.292446,46,42828.119599
103.630091,314,42866.921949
132.099828,199,42890.721449
123.768003,214,42916.117948
136.173212,215,42941.618541
93.179703,148,42959.470551
111.964047,124,42974.592741
-107.856435,138,42991.222511
81.083371,240,43019.750972
-87.642678,197,43043.182477
134.772184,225,43070.010228
-131.242976,223,43096.494869
93.935372,238,43126.90162
134.813683,144,43144.15854
-87.360787,223,43170.633928
-101.234612,136,43187.051934
-91.085282,135,43203.269384
112.583951,52,43209.958079
139.457601,196,43233.218784
60.403964,142,43250.390343
114.469647,66,43258.73444
106.148371,224,43287.160154
112.004392,147,43304.886068
103.281267,142,43322.104572
116.91452,76,43333.342325
46.589465,282,43366.834072
-94.104242,165,43386.586124
-109.650582,140,43403.446359
129.135577,138,43420.106095
-106.305527,78,43429.801151
-160.377489,242,43458.439402
-72.275805,173,43479.222141
-106.634322,129,43494.935234
157.789699,280,43527.995771
-120.51935,186,43550.26313
-107.592037,97,43563.935457
106.07581,118,43578.29685
117.757611,182,43601.844151
-94.533731,101,43614.238788
-103.171115,121,43630.863932
-83.082286,116,43646.697586
142.415336,170,43666.942011
72.855848,134,43683.071293
124.057201,152,43701.312559
-104.539183,126,43716.531928
131.863578,186,43738.574372
-169.212766,255,43768.597594
122.521746,84,43778.995503
-120.445905,150,43796.870585
-105.352372,140,43813.670002
110.184348,59,43821.110246
120.857429,118,43835.20875
134.900694,255,43865.20255
118.515882,93,43876.692117
122.550356,82,43888.643551
103.552026,200,43912.315644
120.591632,136,43928.564419
-121.446422,143,43945.579382
123.859241,121,43960.327253
-95.59642,133,43976.254621
-80.584544,144,43993.515373
67.621091,225,44020.066459
-109.776433,163,44039.498106
-563.153409,25,44526.275836
117.577835,84,44536.678866
148.559267,240,44564.925741
124.555042,100,44577.290309
-98.043728,143,44594.512868
-109.168058,133,44612.781189
117.491011,140,44629.523698
124.715278,98,44641.471435
91.060406,164,44661.037519
105.240372,186,44682.987759
