#{"t_start": 1774620676.1220536, "env_id": "None"}
r,l,t
129.62032,43,10096.12927
157.285284,71,10104.323438
127.146707,28,10107.980681
-75.063295,73,10116.369159
130.168447,91,10126.677914
168.155626,101,10138.047448
-28.063408,103,10149.607423
-95.90218,64,10157.054507
157.436486,69,10165.024051
-76.697157,74,10173.523161
-77.376943,99,10184.653503
-86.809204,49,10190.528099
-57.62478,79,10199.548666
114.446552,50,10205.518455
119.250568,170,10224.106017
157.962763,63,10231.44174
122.652404,44,10236.782672
114.187573,16,10239.176188
-70.012826,95,10249.860503
122.929373,52,10256.129658
156.527576,97,10267.057444
49.761768,239,10292.909229
136.05756,39,10297.760846
175.571583,131,10312.250964
131.072319,50,10318.206064
136.280422,49,10324.068798
-119.124197,80,10333.196109
151.279898,65,10340.740822
138.498088,54,10347.127364
-67.641713,108,10361.01324
164.739812,103,10372.576723
-166.446357,159,10390.024311
-82.813449,67,10397.794217
151.211163,71,10405.972912
-89.354903,56,10414.382384
155.472428,73,10422.789108
-86.663512,61,10429.92049
132.135336,180,10449.660026
105.885974,149,10466.052107
-71.118457,59,10472.997327
150.247002,84,10482.54586
144.296897,64,10489.990667
172.716293,74,10498.497556
115.332,18,10501.114443
135.852324,51,10508.997047
113.478395,25,10512.329734
119.324596,33,10516.512737
120.591159,33,10520.691966
129.799413,43,10525.919271
-87.209004,50,10531.984615
121.423105,32,10536.083239
120.619178,39,10540.892464
125.785921,38,10545.609605
-115.11564,87,10555.46586
186.697701,130,10571.664249
-73.409272,89,10581.734908
164.070697,78,10590.654956
122.969868,37,10595.25684
-91.908619,66,10602.916628
115.954776,19,10605.627128
137.721891,42,10610.766949
145.595242,64,10618.217531
147.510786,67,10625.990488
143.80655,85,10635.697601
163.194433,97,10646.617266
148.506056,60,10653.650697
-85.067975,79,10662.674214
147.507028,52,10668.847483
127.188536,84,10678.414005
152.515743,56,10685.021135
114.510271,26,10688.491927
122.428475,35,10692.878141
157.737585,79,10701.891421
164.530576,69,10709.858337
-84.015675,63,10717.19634
148.695159,75,10725.788353
133.031544,44,10731.132555
115.63487,25,10734.467269
113.526123,74,10742.961798
117.997634,31,10747.043921
160.64496,79,10756.074601
-50.533675,97,10767.000326
168.24963,73,10775.457367
131.259145,59,10782.380057
108.271017,58,10789.190081
-71.753677,53,10795.475361
126.560083,42,10800.599593
-61.384766,67,10808.364152
125.303869,44,10813.704344
137.332649,43,10818.948258
152.864531,73,10827.334349
123.549812,40,10832.248218
156.611062,72,10840.531533
167.708901,108,10852.60966
143.599193,58,10859.415591
146.723861,61,10866.538827
136.504442,54,10872.925217
135.729342,46,10878.474525
117.949944,66,10886.130781
144.55322,59,10893.044287
-96.48149,71,10901.262222
137.909262,54,10907.649204
-99.134168,156,10924.778715
-63.76386,75,10933.380481
133.071588,49,10939.248969
154.86733,90,10949.431887
131.398993,58,10956.251663
150.795462,59,10963.170404
-50.137346,73,10971.578556
164.371741,66,10979.225547
-68.701356,108,10991.294974
-35.875252,239,11017.163707
-57.90365,78,11026.113328
130.571938,45,11031.583442
-21.568397,600,11097.322685
146.154165,58,11104.132332
-98.344378,74,11112.652894
113.488502,34,11116.938005
-58.929538,107,11128.899426
-90.547774,87,11138.761823
164.026778,106,11150.639317
-98.489853,104,11162.287519
133.341135,43,11167.520667
-62.100062,78,11176.447756
125.931375,84,11186.003306
119.818219,27,11189.556575
118.733189,75,11198.150884
138.335734,49,11204.040125
-68.56843,96,11214.864155
116.327453,74,11223.35147
-588.998982,20,11455.961423
147.057841,72,11464.255717
-78.218235,87,11474.117765
-53.791674,85,11483.778443
113.899299,18,11486.380696
117.923045,41,11491.396535
-81.773091,78,11500.318129
126.312724,35,11504.707119
121.411758,34,11508.989017
149.186072,140,11524.437137
-84.087824,60,11531.454143
-92.347158,66,11539.11409
112.206169,33,11543.304486
120.908145,40,11548.216235
138.015198,52,11554.440661
140.166653,68,11562.305802
-84.953711,80,11571.427796
137.042806,50,11579.187534
124.311351,38,11583.991161
-114.56897,93,11594.488868
-183.493908,180,11614.160416
119.740304,28,11617.806387
140.713685,57,11624.518877
-112.942565,76,11633.216043
129.700008,73,11641.687354
165.453621,73,11650.084604
156.939025,67,11657.845105
126.791511,72,11666.139279
162.819456,83,11675.579662
-119.840123,99,11686.706204
133.638658,53,11692.98989
-242.420642,301,11725.391581
-86.477573,77,11734.206867
132.088996,65,11741.742291
168.464551,147,11757.956739
120.260002,27,11761.510358
152.495616,81,11770.735243
115.415731,26,11774.169284
-87.107466,55,11780.660095
140.72221,52,11786.84816
-93.539823,61,11795.770574
135.160676,58,11802.583061
142.053569,60,11809.610392
168.282758,81,11818.844281
-83.322636,44,11825.984469
139.240594,50,11833.766028
-47.708035,87,11843.629289
124.556706,29,11847.392122
147.590827,54,11853.78269
132.181305,59,11860.71622
128.675917,38,11865.441854
-58.68812,105,11877.217949
156.214582,66,11884.87178
118.137385,33,11889.050762
127.704869,64,11896.502837
117.050635,41,11901.533741
154.002405,84,11911.081907
140.087946,52,11917.261559
112.399429,34,11921.65718
114.729049,25,11925.000637
-71.014847,58,11931.81413
114.368323,22,11934.834796
162.467032,88,11944.807505
137.911195,57,11951.50709
147.48787,59,11958.424135
149.003155,63,11965.765856
178.273813,95,11976.476273
113.350152,49,11982.347991
124.218852,33,11986.567131
145.068499,57,11993.278872
146.521953,61,12000.407417
172.713234,81,12009.636073
139.762721,80,12018.763755
153.546956,70,12026.838148
